id,app_id,imei,iccid,packet_number,data_send_time,date_id,measure,voltage,rssi,network
6495592,map16-uu-ultrasonic-live-4G,860548046672520,8942310220000538458F,30,"2021-01-26 08:01:35","2021-01-26 08:01:17",4946,3.64,11,"FDD LTE"
6495622,map16-uu-ultrasonic-live-4G,860548047916793,8942310220000538094F,30,"2021-01-26 08:01:44","2021-01-26 08:01:26",1464,3.62,16,"FDD LTE"
6495652,map16-uu-ultrasonic-live-4G,860548047917205,8942310220000897698F,30,"2021-01-26 08:02:19","2021-01-26 08:02:01",1458,3.62,3,HSPA+TE
6495682,map16-uu-ultrasonic-live-4G,860548047916991,8942310220000886204F,30,"2021-01-26 08:03:13","2021-01-26 08:02:55",4933,3.65,21,"FDD LTE"
6495711,map16-uu-ultrasonic-live-4G,860548047917643,8942310220000886444F,29,"2021-01-26 08:03:23","2021-01-26 08:01:05",1869,3.6,13,"FDD LTE"
6495712,map16-uu-ultrasonic-live-4G,860548047917643,8942310220000886444F,30,"2021-01-26 08:03:23","2021-01-26 08:03:05",1867,3.6,13,"FDD LTE"
6495741,map16-uu-ultrasonic-live-4G,860548046695240,8942310220000538318F,29,"2021-01-26 08:04:17","2021-01-26 08:01:59",815,3.62,18,"FDD LTE"
6495742,map16-uu-ultrasonic-live-4G,860548046695240,8942310220000538318F,30,"2021-01-26 08:04:17","2021-01-26 08:03:59",810,3.62,18,"FDD LTE"
6495771,map16-uu-ultrasonic-live-4G,860548047916694,8942310220000538078F,29,"2021-01-26 08:04:52","2021-01-26 08:02:34",1947,3.64,14,"FDD LTE"
6495772,map16-uu-ultrasonic-live-4G,860548047916694,8942310220000538078F,30,"2021-01-26 08:04:52","2021-01-26 08:04:34",1946,3.64,14,"FDD LTE"
6495801,map16-uu-ultrasonic-live-4G,860548047916918,8942310220000897938F,29,"2021-01-26 08:04:53","2021-01-26 08:02:35",4949,3.65,22,"FDD LTE"
6495802,map16-uu-ultrasonic-live-4G,860548047916918,8942310220000897938F,30,"2021-01-26 08:04:53","2021-01-26 08:04:35",4949,3.65,22,"FDD LTE"
